method,threshold_index,n_datasets,mean_coverage,mean_risk,q15_risk,q85_risk
SignalMatchedFusion,0.4583333333333333,8,82.50514164118745,13.86141777447897,11.421311650919296,16.17875818434618
SignalMatchedFusion,0.5,8,80.96345481599243,13.620442033189114,10.984942419301648,15.842498416872449
SignalMatchedFusion,0.5416666666666666,8,79.58607263300057,13.275254154005575,10.80691930456198,15.603231141714101
SignalMatchedFusion,0.5833333333333333,8,78.03827346474807,13.146096769772589,10.485811206376027,15.47698631529444
SignalMatchedFusion,0.625,8,76.47563833267185,12.644131052473718,9.891622213645578,14.982243041416677
SignalMatchedFusion,0.6666666666666666,8,75.11702713460502,12.589897144117439,10.021146002647155,14.75239791547279
SignalMatchedFusion,0.7083333333333333,8,73.47434381366452,12.307496686526841,9.606393533309008,14.386245839854585
SignalMatchedFusion,0.75,8,72.07651535916625,12.052994263156043,9.319083526805127,14.554091887763052
SignalMatchedFusion,0.7916666666666666,8,70.61599811481571,12.07100058130651,9.65898628891614,14.241324215146971
SignalMatchedFusion,0.8333333333333333,8,69.01671249225052,11.878142897249045,9.398315165519124,13.971625058404031
SignalMatchedFusion,0.875,8,67.36659486220367,11.659447570517674,9.184586552161013,13.940656199771539
SignalMatchedFusion,0.9166666666666666,8,65.87946918057267,11.540080805833048,8.870780338528874,13.964212312581449
SignalMatchedFusion,0.9583333333333331,8,64.60884290732464,11.445299314366036,8.757547678678787,13.836588513958267
SignalMatchedFusion,1.0,8,62.969358817174346,11.469482106676988,8.906782812965554,13.578423435175639
PCG-MAS,0.0,8,98.95264845584487,15.703156597074933,13.024773013022488,18.082483310297928
PCG-MAS,0.0416666666666666,8,97.57312577481878,15.50350666995466,13.143820093915897,17.834752906251463
PCG-MAS,0.0833333333333333,8,95.84404047086016,15.122998695239692,12.320005425905265,17.330569427246598
PCG-MAS,0.125,8,94.3682325928766,14.795511915691117,12.007331925604099,17.217982009180325
PCG-MAS,0.1666666666666666,8,92.95895575753683,14.38869321601991,11.940539622110736,16.867929528934503
